window,cutoff_week,n_train,n_test,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,91,61724,5478,Random Forest,123,depth=None,0.8870725344081654,0.13985359343815879,0.5195326761591822,1.292259948886455,2.580138736765243
cumulative,91,61724,5478,XGBoost,123,depth=9,0.8856694661099618,0.12632709741592407,0.34209565534866737,0.8163563344286235,1.606790799561884
cumulative,91,61724,5478,LightGBM,123,leaves=31,0.8992177743529317,0.11871977966889395,0.337166849215042,0.8125228185469149,1.60478276743337
cumulative,92,63001,5621,Dummy,42,const,0.4200320227717488,0.4200320227717488,0.8400640455434976,2.100160113858744,4.200320227717488
cumulative,92,63001,5621,Logistic Regression,42,C=0.1,0.8599594713055985,0.1401190562551587,0.436399217221135,1.0640455434975984,2.1101227539583705
cumulative,92,63001,5621,Random Forest,42,depth=20,0.9046814852239129,0.1426818543171223,0.5212595623554528,1.296210638676392,2.587795765877958
cumulative,92,63001,5621,XGBoost,42,depth=9,0.9038782828224938,0.1269650161266327,0.34887030777441735,0.8430884184308842,1.6667852695249956
cumulative,92,63001,5621,LightGBM,42,leaves=31,0.9110799767451245,0.12046730205424479,0.3472691691869774,0.8393524283935243,1.659491193737769
cumulative,92,63001,5621,Dummy,7,const,0.4200320227717488,0.4200320227717488,0.8400640455434976,2.100160113858744,4.200320227717488
cumulative,92,63001,5621,Logistic Regression,7,C=0.1,0.8599594713055985,0.1401190562551587,0.436399217221135,1.0640455434975984,2.1101227539583705
cumulative,92,63001,5621,Random Forest,7,depth=None,0.9011742132255389,0.1427393341886248,0.5280199252801993,1.3173812488880983,2.632983454901263
cumulative,92,63001,5621,XGBoost,7,depth=9,0.9038782828224938,0.1269650161266327,0.34887030777441735,0.8430884184308842,1.6667852695249956
cumulative,92,63001,5621,LightGBM,7,leaves=31,0.9110799767451245,0.12046730205424479,0.3472691691869774,0.8393524283935243,1.659491193737769
cumulative,92,63001,5621,Dummy,123,const,0.4200320227717488,0.4200320227717488,0.8400640455434976,2.100160113858744,4.200320227717488
cumulative,92,63001,5621,Logistic Regression,123,C=0.1,0.8599594713055985,0.1401190562551587,0.436399217221135,1.0640455434975984,2.1101227539583705
cumulative,92,63001,5621,Random Forest,123,depth=None,0.9020920727239096,0.14342734101891688,0.538160469667319,1.3397971891122575,2.675858388187155
