window,cutoff_week,n_train,model,seed,hp,pr_auc,brier,cost_r2,cost_r5,cost_r10
cumulative,38,9983,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,38,9983,Logistic Regression,42,C=10.0,0.5816162560020183,0.27106558463027924,0.7013788187873277,1.7155848305355519,3.405928183449259
cumulative,38,9983,Random Forest,42,depth=None,0.6263534785150506,0.23939230053507096,0.7534347580308206,1.8794209452650723,3.756064590655492
cumulative,38,9983,XGBoost,42,depth=6,0.6252751564365114,0.2840527296066284,0.6522230687934721,1.6112025954235998,3.209501806473812
cumulative,38,9983,LightGBM,42,leaves=63,0.5867549212041121,0.3016988345516989,0.6942758129132155,1.7171823924103522,3.422026691572247
cumulative,38,9983,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,38,9983,Logistic Regression,7,C=10.0,0.5816162560020183,0.27106558463027924,0.7013788187873277,1.7155848305355519,3.405928183449259
cumulative,38,9983,Random Forest,7,depth=None,0.625296654483792,0.24368267563438067,0.7659940521542508,1.9113721827610786,3.820335733772458
cumulative,38,9983,XGBoost,7,depth=6,0.6252751564365114,0.2840527296066284,0.6522230687934721,1.6112025954235998,3.209501806473812
cumulative,38,9983,LightGBM,7,leaves=63,0.5867549212041121,0.3016988345516989,0.6942758129132155,1.7171823924103522,3.422026691572247
cumulative,38,9983,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,38,9983,Logistic Regression,123,C=10.0,0.5816162560020183,0.27106558463027924,0.7013788187873277,1.7155848305355519,3.405928183449259
cumulative,38,9983,Random Forest,123,depth=None,0.6166181931608361,0.24346277120735177,0.76184039127977,1.900582495637427,3.7984860029001895
cumulative,38,9983,XGBoost,123,depth=6,0.6252751564365114,0.2840527296066284,0.6522230687934721,1.6112025954235998,3.209501806473812
cumulative,38,9983,LightGBM,123,leaves=63,0.5867549212041121,0.3016988345516989,0.6942758129132155,1.7171823924103522,3.422026691572247
cumulative,39,11287,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,39,11287,Logistic Regression,42,C=1.0,0.5870330602328304,0.2632969727153208,0.6573844225428269,1.5993314818000837,3.1692432472288448
cumulative,39,11287,Random Forest,42,depth=20,0.6184867800986726,0.24614467438434498,0.7606852311549144,1.8974365276378204,3.7920220217759972
cumulative,39,11287,XGBoost,42,depth=9,0.6491700398069713,0.2792011499404907,0.608032049548996,1.4962272961879717,2.9765527072529308
cumulative,39,11287,LightGBM,42,leaves=31,0.600109295179521,0.28808978148761694,0.6656917442917886,1.6445793496694276,3.276058691965493
cumulative,39,11287,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,39,11287,Logistic Regression,7,C=1.0,0.5870330602328304,0.2632969727153208,0.6573844225428269,1.5993314818000837,3.1692432472288448
cumulative,39,11287,Random Forest,7,depth=None,0.6153028774247328,0.24667654629490351,0.7457173052817854,1.85880010814265,3.713938112910758
cumulative,39,11287,XGBoost,7,depth=9,0.6491700398069713,0.2792011499404907,0.608032049548996,1.4962272961879717,2.9765527072529308
cumulative,39,11287,LightGBM,7,leaves=31,0.600109295179521,0.28808978148761694,0.6656917442917886,1.6445793496694276,3.276058691965493
cumulative,39,11287,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,39,11287,Logistic Regression,123,C=1.0,0.5870330602328304,0.2632969727153208,0.6573844225428269,1.5993314818000837,3.1692432472288448
cumulative,39,11287,Random Forest,123,depth=None,0.6321158242211478,0.24099511353427405,0.7245803327844275,1.8071374148991077,3.6113992184235753
cumulative,39,11287,XGBoost,123,depth=9,0.6491700398069713,0.2792011499404907,0.608032049548996,1.4962272961879717,2.9765527072529308
cumulative,39,11287,LightGBM,123,leaves=31,0.600109295179521,0.28808978148761694,0.6656917442917886,1.6445793496694276,3.276058691965493
cumulative,40,12315,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,40,12315,Logistic Regression,42,C=1.0,0.5965676289646882,0.26220910875123454,0.6377712782952786,1.5525843635559269,3.077272838990341
cumulative,40,12315,Random Forest,42,depth=None,0.6357879692523626,0.24223084415813317,0.73799985253275,1.8402438125199696,3.6773170791653356
cumulative,40,12315,XGBoost,42,depth=3,0.6513681018041644,0.269741415977478,0.638311991545211,1.5795217145525597,3.1482045862314743
cumulative,40,12315,LightGBM,42,leaves=15,0.617255251213191,0.2777779828696893,0.6757686730405289,1.6731634182908546,3.335487993708064
cumulative,40,12315,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,40,12315,Logistic Regression,7,C=1.0,0.5965676289646882,0.26220910875123454,0.6377712782952786,1.5525843635559269,3.077272838990341
cumulative,40,12315,Random Forest,7,depth=20,0.6200685726008297,0.24492553093385735,0.7372870941578391,1.8385725170201785,3.674048221790744
cumulative,40,12315,XGBoost,7,depth=3,0.6513681018041644,0.269741415977478,0.638311991545211,1.5795217145525597,3.1482045862314743
cumulative,40,12315,LightGBM,7,leaves=15,0.617255251213191,0.2777779828696893,0.6757686730405289,1.6731634182908546,3.335487993708064
cumulative,40,12315,Dummy,123,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,40,12315,Logistic Regression,123,C=1.0,0.5965676289646882,0.26220910875123454,0.6377712782952786,1.5525843635559269,3.077272838990341
cumulative,40,12315,Random Forest,123,depth=None,0.6355593740538305,0.23610773145723285,0.7296679529087915,1.817607589647799,3.630840317546145
cumulative,40,12315,XGBoost,123,depth=3,0.6513681018041644,0.269741415977478,0.638311991545211,1.5795217145525597,3.1482045862314743
cumulative,40,12315,LightGBM,123,leaves=15,0.617255251213191,0.2777779828696893,0.6757686730405289,1.6731634182908546,3.335487993708064
cumulative,41,13716,Dummy,42,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,41,13716,Logistic Regression,42,C=10.0,0.6391845286402075,0.2548110902368093,0.6415071152948116,1.5805785631774276,3.145697642981788
cumulative,41,13716,Random Forest,42,depth=20,0.6241730844047879,0.2398151285397088,0.7258338044092708,1.8083171528989603,3.612456067048443
cumulative,41,13716,XGBoost,42,depth=3,0.6432126118908041,0.2633066773414612,0.6443335709194583,1.590704647676162,3.1679897756040014
cumulative,41,13716,LightGBM,42,leaves=15,0.6423022372906104,0.2667443903200575,0.6611694152923538,1.638656081795168,3.267800525966525
cumulative,41,13716,Dummy,7,const,0.38697864182662767,0.38697864182662767,0.7739572836532553,1.9348932091331383,3.8697864182662767
cumulative,41,13716,Logistic Regression,7,C=10.0,0.6391845286402075,0.2548110902368093,0.6415071152948116,1.5805785631774276,3.145697642981788
cumulative,41,13716,Random Forest,7,depth=None,0.6170431767238973,0.24779596427906736,0.753975471280753,1.8803303266399587,3.7575884189053013
cumulative,41,13716,XGBoost,7,depth=3,0.6432126118908041,0.2633066773414612,0.6443335709194583,1.590704647676162,3.1679897756040014
cumulative,41,13716,LightGBM,7,leaves=15,0.6423022372906104,0.2667443903200575,0.6611694152923538,1.638656081795168,3.267800525966525
